"","Year","Industry","Occupation","Female","Male","Black","White","Asian","Other","Total"
"1","2015","Agriculture and related","Construction and extraction",0,14,0,13,1,0,14
"2","2015","Agriculture and related","Farming, fishing, and forestry",184,719,34,820,9,40,903
"3","2015","Agriculture and related","Installation, maintenance, and repair",0,31,0,30,0,1,31
"4","2015","Agriculture and related","Management, business, and financial operations",261,824,9,1052,6,18,1085
"5","2015","Agriculture and related","Office and administrative support",76,11,2,83,0,2,87
"6","2015","Agriculture and related","Production",6,24,3,25,0,2,30
"7","2015","Agriculture and related","Professional and related",16,34,1,47,1,0,49
"8","2015","Agriculture and related","Protective service",2,16,4,13,0,1,18
"9","2015","Agriculture and related","Sales and related",9,8,0,17,0,0,17
"10","2015","Agriculture and related","Service, except protective",33,58,1,87,0,3,91
"11","2015","Agriculture and related","Transportation and material moving",9,86,11,77,1,6,95
"12","2015","Construction","Construction and extraction",155,6191,420,5611,85,231,6347
"13","2015","Construction","Farming, fishing, and forestry",0,4,0,3,0,1,4
"14","2015","Construction","Installation, maintenance, and repair",10,524,32,475,13,14,534
"15","2015","Construction","Management, business, and financial operations",244,1517,63,1614,43,42,1762
"16","2015","Construction","Office and administrative support",433,76,26,454,10,19,509
"17","2015","Construction","Production",4,149,11,127,6,9,153
"18","2015","Construction","Professional and related",38,199,14,202,16,5,237
"19","2015","Construction","Protective service",3,7,3,7,0,0,10
"20","2015","Construction","Sales and related",27,71,2,94,2,0,98
"21","2015","Construction","Service, except protective",6,33,4,33,0,2,39
"22","2015","Construction","Transportation and material moving",9,235,18,214,3,9,244
"23","2015","Education and health services","Construction and extraction",7,82,10,72,2,6,90
"24","2015","Education and health services","Farming, fishing, and forestry",1,0,0,1,0,0,1
"25","2015","Education and health services","Installation, maintenance, and repair",16,216,31,193,5,3,232
"26","2015","Education and health services","Management, business, and financial operations",2188,1071,405,2620,156,79,3260
"27","2015","Education and health services","Office and administrative support",3164,397,501,2790,158,112,3561
"28","2015","Education and health services","Production",100,72,30,125,13,4,172
"29","2015","Education and health services","Professional and related",13682,4972,2086,14842,1276,450,18654
"30","2015","Education and health services","Protective service",64,128,56,124,6,6,192
"31","2015","Education and health services","Sales and related",88,29,19,91,7,0,117
"32","2015","Education and health services","Service, except protective",5646,1371,1755,4615,356,292,7018
"33","2015","Education and health services","Transportation and material moving",168,214,75,288,7,13,383
"34","2015","Financial activities","Construction and extraction",3,31,2,29,1,2,34
"35","2015","Financial activities","Farming, fishing, and forestry",0,1,0,1,0,0,1
"36","2015","Financial activities","Installation, maintenance, and repair",10,209,28,177,5,10,220
"37","2015","Financial activities","Management, business, and financial operations",1996,2157,383,3397,281,92,4153
"38","2015","Financial activities","Office and administrative support",1750,422,275,1720,107,69,2171
"39","2015","Financial activities","Production",11,24,7,23,3,2,35
"40","2015","Financial activities","Professional and related",356,469,68,605,137,15,825
"41","2015","Financial activities","Protective service",26,26,7,42,2,1,52
"42","2015","Financial activities","Sales and related",1088,1084,144,1885,95,48,2172
"43","2015","Financial activities","Service, except protective",96,219,51,239,12,13,315
"44","2015","Financial activities","Transportation and material moving",9,99,22,78,5,3,108
"45","2015","Information","Construction and extraction",0,5,0,5,0,0,5
"46","2015","Information","Farming, fishing, and forestry",0,0,0,0,0,0,0
"47","2015","Information","Installation, maintenance, and repair",16,280,41,231,13,11,296
"48","2015","Information","Management, business, and financial operations",259,360,53,492,53,21,619
"49","2015","Information","Office and administrative support",301,141,78,330,21,13,442
"50","2015","Information","Production",14,31,4,37,3,2,46
"51","2015","Information","Professional and related",385,739,101,868,117,38,1124
"52","2015","Information","Protective service",2,11,3,11,0,-1,13
"53","2015","Information","Sales and related",143,186,38,262,21,8,329
"54","2015","Information","Service, except protective",37,38,13,56,5,1,75
"55","2015","Information","Transportation and material moving",14,25,7,31,0,1,39
"56","2015","Leisure and hospitality","Construction and extraction",1,37,4,27,4,3,38
"57","2015","Leisure and hospitality","Farming, fishing, and forestry",1,3,0,3,0,0,3
"58","2015","Leisure and hospitality","Installation, maintenance, and repair",5,107,12,91,4,5,112
"59","2015","Leisure and hospitality","Management, business, and financial operations",901,1030,178,1512,182,59,1931
"60","2015","Leisure and hospitality","Office and administrative support",501,201,91,513,59,39,702
"61","2015","Leisure and hospitality","Production",73,73,17,105,18,6,146
"62","2015","Leisure and hospitality","Professional and related",402,505,85,759,30,33,907
"63","2015","Leisure and hospitality","Protective service",56,125,19,142,8,13,182
"64","2015","Leisure and hospitality","Sales and related",724,291,211,681,66,57,1015
"65","2015","Leisure and hospitality","Service, except protective",4359,4127,1089,6470,527,400,8486
"66","2015","Leisure and hospitality","Transportation and material moving",43,256,34,236,13,16,299
"67","2015","Manufacturing, durable goods","Construction and extraction",8,231,11,223,3,2,239
"68","2015","Manufacturing, durable goods","Farming, fishing, and forestry",0,4,0,4,0,0,4
"69","2015","Manufacturing, durable goods","Installation, maintenance, and repair",17,419,22,385,17,12,436
"70","2015","Manufacturing, durable goods","Management, business, and financial operations",494,1180,65,1474,106,28,1673
"71","2015","Manufacturing, durable goods","Office and administrative support",479,298,69,640,46,22,777
"72","2015","Manufacturing, durable goods","Production",893,2961,436,3042,240,136,3854
"73","2015","Manufacturing, durable goods","Professional and related",271,1294,83,1213,231,39,1566
"74","2015","Manufacturing, durable goods","Protective service",4,12,3,13,0,0,16
"75","2015","Manufacturing, durable goods","Sales and related",87,270,12,332,9,4,357
"76","2015","Manufacturing, durable goods","Service, except protective",25,63,15,68,3,2,88
"77","2015","Manufacturing, durable goods","Transportation and material moving",105,593,122,538,17,21,698
"78","2015","Manufacturing, nondurable goods","Construction and extraction",4,51,3,52,0,0,55
"79","2015","Manufacturing, nondurable goods","Farming, fishing, and forestry",28,22,10,37,3,1,51
"80","2015","Manufacturing, nondurable goods","Installation, maintenance, and repair",12,231,19,221,1,3,244
"81","2015","Manufacturing, nondurable goods","Management, business, and financial operations",349,597,57,819,54,16,946
"82","2015","Manufacturing, nondurable goods","Office and administrative support",319,185,48,423,25,8,504
"83","2015","Manufacturing, nondurable goods","Production",826,1392,341,1668,142,67,2218
"84","2015","Manufacturing, nondurable goods","Professional and related",235,379,50,474,71,19,614
"85","2015","Manufacturing, nondurable goods","Protective service",3,10,2,12,0,0,14
"86","2015","Manufacturing, nondurable goods","Sales and related",138,167,20,261,20,5,306
"87","2015","Manufacturing, nondurable goods","Service, except protective",47,58,12,83,3,7,105
"88","2015","Manufacturing, nondurable goods","Transportation and material moving",110,462,95,433,21,24,573
"89","2015","Mining, quarrying, and oil and gas extraction","Construction and extraction",8,284,12,268,0,12,292
"90","2015","Mining, quarrying, and oil and gas extraction","Farming, fishing, and forestry",0,1,0,1,0,0,1
"91","2015","Mining, quarrying, and oil and gas extraction","Installation, maintenance, and repair",1,72,2,65,0,6,73
"92","2015","Mining, quarrying, and oil and gas extraction","Management, business, and financial operations",42,108,8,130,8,4,150
"93","2015","Mining, quarrying, and oil and gas extraction","Office and administrative support",45,27,5,64,3,1,73
"94","2015","Mining, quarrying, and oil and gas extraction","Production",1,60,5,53,0,4,62
"95","2015","Mining, quarrying, and oil and gas extraction","Professional and related",18,130,4,130,11,3,148
"96","2015","Mining, quarrying, and oil and gas extraction","Protective service",0,2,0,1,0,1,2
"97","2015","Mining, quarrying, and oil and gas extraction","Sales and related",1,12,0,12,0,0,12
"98","2015","Mining, quarrying, and oil and gas extraction","Service, except protective",1,4,1,3,0,1,5
"99","2015","Mining, quarrying, and oil and gas extraction","Transportation and material moving",2,98,7,90,0,3,100
"100","2015","Other services, except private households","Construction and extraction",0,24,5,18,0,1,24
"101","2015","Other services, except private households","Farming, fishing, and forestry",1,2,0,3,0,1,4
"102","2015","Other services, except private households","Installation, maintenance, and repair",28,1119,77,990,45,35,1147
"103","2015","Other services, except private households","Management, business, and financial operations",362,282,53,534,34,23,644
"104","2015","Other services, except private households","Office and administrative support",532,96,68,526,18,16,628
"105","2015","Other services, except private households","Production",138,286,39,333,41,10,423
"106","2015","Other services, except private households","Professional and related",405,589,94,824,52,24,994
"107","2015","Other services, except private households","Protective service",4,11,3,11,0,1,15
"108","2015","Other services, except private households","Sales and related",97,268,29,314,17,6,366
"109","2015","Other services, except private households","Service, except protective",1431,494,237,1363,267,58,1925
"110","2015","Other services, except private households","Transportation and material moving",25,271,52,221,6,17,296
"111","2015","Other services, private households only","Construction and extraction",0,1,0,1,0,0,1
"112","2015","Other services, private households only","Farming, fishing, and forestry",0,0,0,0,0,0,0
"113","2015","Other services, private households only","Installation, maintenance, and repair",0,1,0,1,0,0,1
"114","2015","Other services, private households only","Management, business, and financial operations",4,3,0,6,0,1,7
"115","2015","Other services, private households only","Office and administrative support",4,0,0,3,1,0,4
"116","2015","Other services, private households only","Production",1,0,1,1,0,-1,1
"117","2015","Other services, private households only","Professional and related",4,0,1,3,0,0,4
"118","2015","Other services, private households only","Protective service",0,0,0,0,0,0,0
"119","2015","Other services, private households only","Sales and related",0,0,0,0,0,0,0
"120","2015","Other services, private households only","Service, except protective",726,44,72,633,34,31,770
"121","2015","Other services, private households only","Transportation and material moving",0,9,0,9,0,1,10
"122","2015","Professional and business services","Construction and extraction",9,153,13,140,1,7,161
"123","2015","Professional and business services","Farming, fishing, and forestry",5,7,1,11,0,0,12
"124","2015","Professional and business services","Installation, maintenance, and repair",15,277,31,236,11,14,292
"125","2015","Professional and business services","Management, business, and financial operations",1880,2464,298,3564,391,91,4344
"126","2015","Professional and business services","Office and administrative support",1717,537,289,1770,114,82,2255
"127","2015","Professional and business services","Production",101,277,54,286,21,16,377
"128","2015","Professional and business services","Professional and related",1966,3587,342,4361,731,118,5552
"129","2015","Professional and business services","Protective service",110,423,159,330,22,22,533
"130","2015","Professional and business services","Sales and related",283,320,40,526,28,9,603
"131","2015","Professional and business services","Service, except protective",972,1723,303,2229,53,109,2694
"132","2015","Professional and business services","Transportation and material moving",93,492,122,427,11,25,585
"133","2015","Public administration","Construction and extraction",6,77,22,59,1,0,82
"134","2015","Public administration","Farming, fishing, and forestry",7,14,2,17,1,1,21
"135","2015","Public administration","Installation, maintenance, and repair",8,116,18,92,4,9,123
"136","2015","Public administration","Management, business, and financial operations",689,612,235,950,64,51,1300
"137","2015","Public administration","Office and administrative support",957,259,229,892,42,53,1216
"138","2015","Public administration","Production",6,51,7,45,3,2,57
"139","2015","Public administration","Professional and related",886,821,259,1253,122,74,1708
"140","2015","Public administration","Protective service",349,1600,313,1535,36,65,1949
"141","2015","Public administration","Sales and related",13,14,5,22,0,0,27
"142","2015","Public administration","Service, except protective",200,156,66,241,21,28,356
"143","2015","Public administration","Transportation and material moving",15,72,14,67,4,2,87
"144","2015","Retail trade","Construction and extraction",2,74,6,66,1,4,77
"145","2015","Retail trade","Farming, fishing, and forestry",5,6,1,10,0,0,11
"146","2015","Retail trade","Installation, maintenance, and repair",25,616,41,565,16,19,641
"147","2015","Retail trade","Management, business, and financial operations",411,502,65,771,48,29,913
"148","2015","Retail trade","Office and administrative support",1503,1225,390,2100,129,110,2729
"149","2015","Retail trade","Production",207,309,64,402,24,26,516
"150","2015","Retail trade","Professional and related",554,385,97,715,108,19,939
"151","2015","Retail trade","Protective service",25,47,14,54,1,3,72
"152","2015","Retail trade","Sales and related",4673,4200,1070,6953,552,297,8872
"153","2015","Retail trade","Service, except protective",383,267,92,494,41,24,651
"154","2015","Retail trade","Transportation and material moving",238,1027,173,1004,38,49,1264
"155","2015","Transportation and utilities","Construction and extraction",3,160,15,142,2,4,163
"156","2015","Transportation and utilities","Farming, fishing, and forestry",1,4,1,4,0,0,5
"157","2015","Transportation and utilities","Installation, maintenance, and repair",10,488,52,410,17,19,498
"158","2015","Transportation and utilities","Management, business, and financial operations",243,546,80,651,41,18,790
"159","2015","Transportation and utilities","Office and administrative support",795,853,342,1165,84,57,1648
"160","2015","Transportation and utilities","Production",33,290,36,272,5,9,322
"161","2015","Transportation and utilities","Professional and related",87,277,32,293,31,7,363
"162","2015","Transportation and utilities","Protective service",13,22,11,22,0,2,35
"163","2015","Transportation and utilities","Sales and related",37,68,11,86,4,4,105
"164","2015","Transportation and utilities","Service, except protective",47,77,24,94,5,1,124
"165","2015","Transportation and utilities","Transportation and material moving",481,3193,773,2619,166,115,3673
"166","2015","Wholesale trade","Construction and extraction",1,28,3,26,0,1,30
"167","2015","Wholesale trade","Farming, fishing, and forestry",26,26,6,42,1,3,52
"168","2015","Wholesale trade","Installation, maintenance, and repair",2,128,7,118,3,1,129
"169","2015","Wholesale trade","Management, business, and financial operations",196,335,25,454,43,9,531
"170","2015","Wholesale trade","Office and administrative support",340,251,68,480,27,16,591
"171","2015","Wholesale trade","Production",38,71,13,86,7,2,108
"172","2015","Wholesale trade","Professional and related",48,120,15,130,22,1,168
"173","2015","Wholesale trade","Protective service",1,5,0,3,0,3,6
"174","2015","Wholesale trade","Sales and related",332,972,57,1158,69,20,1304
"175","2015","Wholesale trade","Service, except protective",14,30,7,33,1,3,44
"176","2015","Wholesale trade","Transportation and material moving",73,599,99,532,18,23,672
"177","2016","Agriculture and related","Construction and extraction",1,10,0,10,0,1,11
"178","2016","Agriculture and related","Farming, fishing, and forestry",183,761,31,872,12,30,945
"179","2016","Agriculture and related","Installation, maintenance, and repair",0,37,0,37,0,1,38
"180","2016","Agriculture and related","Management, business, and financial operations",281,803,11,1045,11,16,1083
"181","2016","Agriculture and related","Office and administrative support",74,14,1,82,1,4,88
"182","2016","Agriculture and related","Production",8,27,5,30,1,0,36
"183","2016","Agriculture and related","Professional and related",16,37,1,48,1,3,53
"184","2016","Agriculture and related","Protective service",1,13,2,12,0,0,14
"185","2016","Agriculture and related","Sales and related",8,8,1,15,0,-1,15
"186","2016","Agriculture and related","Service, except protective",37,58,2,90,1,2,95
"187","2016","Agriculture and related","Transportation and material moving",13,71,12,68,2,2,84
"188","2016","Construction","Construction and extraction",188,6469,416,5897,111,233,6657
"189","2016","Construction","Farming, fishing, and forestry",0,3,0,3,0,0,3
"190","2016","Construction","Installation, maintenance, and repair",8,551,34,500,10,15,559
"191","2016","Construction","Management, business, and financial operations",245,1539,71,1642,37,34,1784
"192","2016","Construction","Office and administrative support",403,80,20,438,10,15,483
"193","2016","Construction","Production",5,147,8,137,2,4,151
"194","2016","Construction","Professional and related",48,218,15,222,20,9,266
"195","2016","Construction","Protective service",4,9,3,8,1,1,13
"196","2016","Construction","Sales and related",20,83,2,95,4,2,103
"197","2016","Construction","Service, except protective",10,48,9,46,1,2,58
"198","2016","Construction","Transportation and material moving",8,244,20,221,2,9,252
"199","2016","Education and health services","Construction and extraction",4,80,8,72,2,3,85
"200","2016","Education and health services","Farming, fishing, and forestry",1,0,0,1,0,0,1
"201","2016","Education and health services","Installation, maintenance, and repair",20,191,23,174,9,5,211
"202","2016","Education and health services","Management, business, and financial operations",2180,1135,439,2636,148,92,3315
"203","2016","Education and health services","Office and administrative support",3164,383,453,2828,156,110,3547
"204","2016","Education and health services","Production",99,72,28,127,12,4,171
"205","2016","Education and health services","Professional and related",13789,5066,2148,14917,1329,460,18854
"206","2016","Education and health services","Protective service",73,132,62,133,4,6,205
"207","2016","Education and health services","Sales and related",81,40,17,97,6,1,121
"208","2016","Education and health services","Service, except protective",5977,1388,1837,4858,383,287,7365
"209","2016","Education and health services","Transportation and material moving",185,204,88,280,9,12,389
"210","2016","Financial activities","Construction and extraction",1,50,5,41,1,5,52
"211","2016","Financial activities","Farming, fishing, and forestry",1,0,0,1,0,0,1
"212","2016","Financial activities","Installation, maintenance, and repair",8,197,39,157,5,4,205
"213","2016","Financial activities","Management, business, and financial operations",2066,2248,372,3536,305,101,4314
"214","2016","Financial activities","Office and administrative support",1750,429,302,1694,119,64,2179
"215","2016","Financial activities","Production",16,26,8,31,2,1,42
"216","2016","Financial activities","Professional and related",376,480,68,604,166,18,856
"217","2016","Financial activities","Protective service",31,37,14,46,4,4,68
